"","brand","fuel","year","age"
"164","TOYOTA","PHEV",2013,0
"165","TOYOTA","PHEV",2013,0
"166","TOYOTA","PHEV",2013,0
"167","TOYOTA","PHEV",2013,0
"168","TOYOTA","PHEV",2013,0
"169","TOYOTA","PHEV",2013,0
"170","TOYOTA","PHEV",2013,0
"171","TOYOTA","PHEV",2013,0
"172","TOYOTA","PHEV",2013,0
"173","TOYOTA","PHEV",2013,0
"174","BYD","BEV",2013,0
"175","LEXUS","PHEV",2013,0
"176","BYD","BEV",2013,0
"177","TOYOTA","PHEV",2013,0
"178","TOYOTA","PHEV",2013,0
"179","TOYOTA","PHEV",2013,0
"180","TOYOTA","PHEV",2013,0
"181","TOYOTA","PHEV",2013,0
"182","TOYOTA","PHEV",2013,0
"183","TOYOTA","PHEV",2013,0
"184","TOYOTA","PHEV",2013,0
"185","TOYOTA","PHEV",2013,0
"186","TOYOTA","PHEV",2013,0
"187","TOYOTA","PHEV",2013,0
"188","TOYOTA","PHEV",2013,0
"189","LEXUS","PHEV",2013,0
"190","TOYOTA","PHEV",2013,6
"191","TOYOTA","PHEV",2013,0
"192","TOYOTA","PHEV",2013,0
"193","TOYOTA","PHEV",2013,0
"194","TOYOTA","PHEV",2013,0
"195","TOYOTA","PHEV",2013,0
"196","TOYOTA","PHEV",2013,0
"197","TOYOTA","PHEV",2013,0
"198","TOYOTA","PHEV",2013,0
"199","TOYOTA","PHEV",2013,0
"200","TOYOTA","PHEV",2013,0
"201","TOYOTA","PHEV",2013,0
"202","TOYOTA","PHEV",2013,0
"203","TOYOTA","PHEV",2013,0
"204","TOYOTA","PHEV",2013,0
"205","TOYOTA","PHEV",2013,0
"206","TOYOTA","PHEV",2013,0
"207","TOYOTA","PHEV",2013,0
"208","TOYOTA","PHEV",2013,0
"209","TOYOTA","PHEV",2013,0
"210","TOYOTA","PHEV",2013,0
"211","TOYOTA","PHEV",2013,0
"212","TOYOTA","PHEV",2013,1
"213","TOYOTA","PHEV",2013,0
"214","TOYOTA","PHEV",2013,1
"215","TOYOTA","PHEV",2013,1
"216","TOYOTA","PHEV",2013,0
"217","TOYOTA","PHEV",2013,0
"218","TOYOTA","PHEV",2013,0
"219","TOYOTA","PHEV",2013,0
"220","TOYOTA","PHEV",2013,0
"221","TOYOTA","PHEV",2013,0
"222","TOYOTA","PHEV",2013,0
"223","TOYOTA","PHEV",2013,0
"224","TOYOTA","PHEV",2013,0
"225","TOYOTA","PHEV",2013,0
"226","TOYOTA","PHEV",2013,0
"227","TOYOTA","PHEV",2013,0
"228","TOYOTA","PHEV",2013,0
"229","TOYOTA","PHEV",2013,0
"230","TOYOTA","PHEV",2013,0
"231","TOYOTA","PHEV",2013,0
"232","TOYOTA","PHEV",2013,0
"233","TOYOTA","PHEV",2013,0
"234","TOYOTA","PHEV",2013,0
"235","TOYOTA","PHEV",2013,0
"236","TOYOTA","PHEV",2013,0
"237","TOYOTA","PHEV",2013,0
